Time,THERMAL ZONE 1:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:15:00,1.110820E+05,0.000000E+00,5.732210E+00,0.000000E+00
00:30:00,1.110823E+05,0.000000E+00,5.732223E+00,0.000000E+00
00:45:00,1.110825E+05,0.000000E+00,5.732234E+00,0.000000E+00
01:00:00,1.110827E+05,0.000000E+00,5.732244E+00,0.000000E+00
01:15:00,1.110829E+05,0.000000E+00,5.732255E+00,0.000000E+00
01:30:00,1.110831E+05,0.000000E+00,5.732265E+00,0.000000E+00
01:45:00,1.110832E+05,0.000000E+00,5.732274E+00,0.000000E+00
02:00:00,1.110834E+05,0.000000E+00,5.732282E+00,0.000000E+00
02:15:00,1.110836E+05,0.000000E+00,5.732290E+00,0.000000E+00
02:30:00,1.110837E+05,0.000000E+00,5.732297E+00,0.000000E+00
02:45:00,1.110838E+05,0.000000E+00,5.732304E+00,0.000000E+00
03:00:00,1.110839E+05,0.000000E+00,5.732310E+00,0.000000E+00
03:15:00,1.110841E+05,0.000000E+00,5.732316E+00,0.000000E+00
03:30:00,1.110842E+05,0.000000E+00,5.732321E+00,0.000000E+00
03:45:00,1.110843E+05,0.000000E+00,5.732326E+00,0.000000E+00
04:00:00,1.110843E+05,0.000000E+00,5.732331E+00,0.000000E+00
04:15:00,1.110844E+05,0.000000E+00,5.732335E+00,0.000000E+00
04:30:00,1.110845E+05,0.000000E+00,5.732339E+00,0.000000E+00
04:45:00,1.110846E+05,0.000000E+00,5.732343E+00,0.000000E+00
05:00:00,1.110846E+05,0.000000E+00,5.732347E+00,0.000000E+00
05:15:00,1.110847E+05,0.000000E+00,5.732350E+00,0.000000E+00
05:30:00,1.110848E+05,0.000000E+00,5.732353E+00,0.000000E+00
05:45:00,1.110848E+05,0.000000E+00,5.732356E+00,0.000000E+00
06:00:00,1.110849E+05,0.000000E+00,5.732359E+00,0.000000E+00
06:15:00,1.060978E+05,7.485098E+03,5.475007E+00,6.698379E-01
06:30:00,1.011044E+05,7.485098E+03,5.217367E+00,6.698379E-01
06:45:00,9.610971E+04,1.278805E+04,4.959685E+00,1.193070E+00
07:00:00,9.111087E+04,1.753894E+04,4.701816E+00,1.658920E+00
07:15:00,9.109618E+04,1.484857E+04,4.701172E+00,1.459028E+00
07:30:00,9.108553E+04,2.000879E+04,4.700721E+00,1.964779E+00
07:45:00,9.107449E+04,2.017380E+04,4.700239E+00,1.977462E+00
08:00:00,9.106636E+04,2.120151E+04,4.699886E+00,2.077974E+00
08:15:00,9.106025E+04,2.247839E+04,4.699618E+00,2.203110E+00
08:30:00,9.105558E+04,2.366408E+04,4.699408E+00,2.319328E+00
08:45:00,9.105194E+04,2.478899E+04,4.699242E+00,2.429587E+00
09:00:00,9.104907E+04,2.584393E+04,4.699109E+00,2.532989E+00
09:15:00,9.104679E+04,2.683073E+04,4.699001E+00,2.629710E+00
09:30:00,9.104495E+04,2.776640E+04,4.698914E+00,2.721410E+00
09:45:00,9.104345E+04,2.867196E+04,4.698843E+00,2.810151E+00
10:00:00,9.104223E+04,2.954850E+04,4.698783E+00,2.896039E+00
10:15:00,9.104122E+04,3.045202E+04,4.698734E+00,2.984568E+00
10:30:00,9.104036E+04,3.142579E+04,4.698692E+00,3.079985E+00
