Time,THERMAL ZONE 1:MILANO-LINATE ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:MILANO-LINATE ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:MILANO-LINATE ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:MILANO-LINATE ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:MILANO-LINATE ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:MILANO-LINATE ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:MILANO-LINATE ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:MILANO-LINATE ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:MILANO-LINATE ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:MILANO-LINATE ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:MILANO-LINATE ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:MILANO-LINATE ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:MILANO-LINATE ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:MILANO-LINATE ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:MILANO-LINATE ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:MILANO-LINATE ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5:MILANO-LINATE ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:MILANO-LINATE ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:MILANO-LINATE ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:MILANO-LINATE ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 6:MILANO-LINATE ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 6:MILANO-LINATE ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 6:MILANO-LINATE ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 6:MILANO-LINATE ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:15:00,2.821241E+04,2.275047E+03,1.455983E+00,1.755305E-01,1.365791E+03,8.464184E+03,7.049418E-02,6.532339E-01,2.953949E+04,1.563474E+04,1.524472E+00,1.206498E+00,9.015061E+02,1.146078E+04,4.653050E-02,8.845155E-01,4.625046E+04,1.755433E+04,2.386358E+00,1.354971E+00,4.212890E+03,3.436980E+03,2.173930E-01,2.652688E-01
00:30:00,2.821241E+04,2.419262E+03,1.455983E+00,1.866558E-01,1.365793E+03,8.456095E+03,7.049427E-02,6.525858E-01,2.953955E+04,1.555258E+04,1.524474E+00,1.200139E+00,9.015129E+02,1.143452E+04,4.653085E-02,8.824704E-01,4.625059E+04,1.738193E+04,2.386365E+00,1.341673E+00,4.212920E+03,3.434874E+03,2.173946E-01,2.651065E-01
00:45:00,2.821240E+04,2.372212E+03,1.455983E+00,1.830269E-01,1.365794E+03,8.442454E+03,7.049435E-02,6.515114E-01,2.953960E+04,1.546254E+04,1.524477E+00,1.193173E+00,9.015196E+02,1.140796E+04,4.653120E-02,8.803997E-01,4.625071E+04,1.719980E+04,2.386371E+00,1.327613E+00,4.212949E+03,3.429417E+03,2.173960E-01,2.646843E-01
01:00:00,2.821240E+04,2.309383E+03,1.455983E+00,1.781793E-01,1.365796E+03,8.425449E+03,7.049443E-02,6.501701E-01,2.953964E+04,1.537012E+04,1.524479E+00,1.186026E+00,9.015262E+02,1.138238E+04,4.653153E-02,8.783838E-01,4.625082E+04,1.701517E+04,2.386377E+00,1.313355E+00,4.212976E+03,3.422080E+03,2.173974E-01,2.641168E-01
01:15:00,2.821243E+04,2.250138E+03,1.455984E+00,1.736080E-01,1.365798E+03,8.438758E+03,7.049452E-02,6.511563E-01,2.953974E+04,1.529125E+04,1.524484E+00,1.179927E+00,9.015340E+02,1.138836E+04,4.653194E-02,8.787791E-01,4.625098E+04,1.684611E+04,2.386385E+00,1.300297E+00,4.213002E+03,3.416013E+03,2.173988E-01,2.636470E-01
01:30:00,2.821246E+04,2.186903E+03,1.455985E+00,1.687288E-01,1.365799E+03,8.451013E+03,7.049461E-02,6.520529E-01,2.953984E+04,1.521516E+04,1.524489E+00,1.174042E+00,9.015417E+02,1.139494E+04,4.653234E-02,8.792051E-01,4.625114E+04,1.668275E+04,2.386393E+00,1.287677E+00,4.213028E+03,3.409322E+03,2.174001E-01,2.631288E-01
01:45:00,2.821248E+04,2.121968E+03,1.455987E+00,1.637184E-01,1.365801E+03,8.460735E+03,7.049469E-02,6.527638E-01,2.953993E+04,1.514221E+04,1.524494E+00,1.168402E+00,9.015492E+02,1.140057E+04,4.653272E-02,8.795771E-01,4.625129E+04,1.652637E+04,2.386401E+00,1.275598E+00,4.213052E+03,3.402284E+03,2.174013E-01,2.625841E-01
02:00:00,2.821251E+04,2.057085E+03,1.455988E+00,1.587121E-01,1.365802E+03,8.468213E+03,7.049477E-02,6.533182E-01,2.954002E+04,1.507280E+04,1.524499E+00,1.163038E+00,9.015566E+02,1.140531E+04,4.653311E-02,8.799094E-01,4.625143E+04,1.637857E+04,2.386408E+00,1.264184E+00,4.213075E+03,3.395166E+03,2.174025E-01,2.620338E-01
02:15:00,2.821253E+04,1.991004E+03,1.455989E+00,1.536133E-01,1.365804E+03,8.473935E+03,7.049484E-02,6.537502E-01,2.954011E+04,1.500473E+04,1.524503E+00,1.157780E+00,9.015639E+02,1.140944E+04,4.653348E-02,8.802171E-01,4.625157E+04,1.623535E+04,2.386415E+00,1.253125E+00,4.213097E+03,3.387751E+03,2.174037E-01,2.614610E-01
02:30:00,2.821255E+04,1.924262E+03,1.455990E+00,1.484636E-01,1.365805E+03,8.478361E+03,7.049491E-02,6.540887E-01,2.954019E+04,1.493797E+04,1.524507E+00,1.152624E+00,9.015710E+02,1.141321E+04,4.653385E-02,8.805054E-01,4.625170E+04,1.609758E+04,2.386422E+00,1.242490E+00,4.213118E+03,3.380241E+03,2.174047E-01,2.608811E-01
