Time,THERMAL ZONE 1:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 6:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 6:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 6:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 6:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:15:00,3.014898E+04,8.677463E+02,1.555918E+00,6.694721E-02,1.389955E+03,8.400770E+03,7.174140E-02,6.482928E-01,3.211324E+04,1.411287E+04,1.657290E+00,1.088979E+00,9.296017E+02,1.150431E+04,4.798063E-02,8.878101E-01,4.866741E+04,1.569677E+04,2.511026E+00,1.211387E+00,4.189699E+03,1.183204E+04,2.161942E-01,9.133501E-01
00:30:00,3.014900E+04,9.179661E+02,1.555919E+00,7.082087E-02,1.389958E+03,8.407983E+03,7.174152E-02,6.488303E-01,3.211334E+04,1.402096E+04,1.657295E+00,1.081874E+00,9.296098E+02,1.148994E+04,4.798105E-02,8.866863E-01,4.866759E+04,1.551327E+04,2.511035E+00,1.197228E+00,4.189731E+03,1.179612E+04,2.161958E-01,9.105750E-01
00:45:00,3.014902E+04,9.243273E+02,1.555920E+00,7.131177E-02,1.389960E+03,8.410247E+03,7.174163E-02,6.489877E-01,3.211343E+04,1.392223E+04,1.657299E+00,1.074243E+00,9.296177E+02,1.147554E+04,4.798146E-02,8.855588E-01,4.866776E+04,1.532242E+04,2.511044E+00,1.182497E+00,4.189762E+03,1.176055E+04,2.161974E-01,9.078161E-01
01:00:00,3.014904E+04,8.667022E+02,1.555921E+00,6.686606E-02,1.389961E+03,8.409295E+03,7.174172E-02,6.488911E-01,3.211352E+04,1.382154E+04,1.657304E+00,1.066463E+00,9.296255E+02,1.146226E+04,4.798186E-02,8.845002E-01,4.866792E+04,1.513181E+04,2.511052E+00,1.167782E+00,4.189790E+03,1.172651E+04,2.161989E-01,9.051555E-01
01:15:00,3.014907E+04,8.008280E+02,1.555923E+00,6.178380E-02,1.389963E+03,8.423784E+03,7.174182E-02,6.499765E-01,3.211362E+04,1.372522E+04,1.657309E+00,1.059021E+00,9.296335E+02,1.146570E+04,4.798227E-02,8.847115E-01,4.866808E+04,1.495255E+04,2.511061E+00,1.153943E+00,4.189818E+03,1.170875E+04,2.162003E-01,9.037314E-01
01:30:00,3.014910E+04,7.298721E+02,1.555924E+00,5.630946E-02,1.389965E+03,8.436932E+03,7.174191E-02,6.509516E-01,3.211372E+04,1.363275E+04,1.657314E+00,1.051877E+00,9.296414E+02,1.146960E+04,4.798268E-02,8.849450E-01,4.866824E+04,1.477417E+04,2.511069E+00,1.140173E+00,4.189844E+03,1.169181E+04,2.162016E-01,9.023590E-01
01:45:00,3.014912E+04,6.571502E+02,1.555925E+00,5.069888E-02,1.389967E+03,8.447321E+03,7.174199E-02,6.517216E-01,3.211381E+04,1.354474E+04,1.657319E+00,1.045079E+00,9.296492E+02,1.147261E+04,4.798308E-02,8.851261E-01,4.866840E+04,1.459658E+04,2.511077E+00,1.126460E+00,4.189869E+03,1.167494E+04,2.162029E-01,9.010084E-01
02:00:00,3.014914E+04,5.851339E+02,1.555926E+00,4.514276E-02,1.389968E+03,8.455295E+03,7.174206E-02,6.523187E-01,3.211390E+04,1.346175E+04,1.657324E+00,1.038670E+00,9.296568E+02,1.147479E+04,4.798348E-02,8.852668E-01,4.866854E+04,1.441809E+04,2.511085E+00,1.112678E+00,4.189892E+03,1.165840E+04,2.162041E-01,8.997074E-01
02:15:00,3.014917E+04,5.117271E+02,1.555928E+00,3.947938E-02,1.389969E+03,8.461406E+03,7.174214E-02,6.527825E-01,3.211399E+04,1.338069E+04,1.657328E+00,1.032411E+00,9.296643E+02,1.147640E+04,4.798386E-02,8.853819E-01,4.866869E+04,1.423011E+04,2.511092E+00,1.098163E+00,4.189915E+03,1.164205E+04,2.162053E-01,8.984393E-01
02:30:00,3.014919E+04,4.378649E+02,1.555929E+00,3.378090E-02,1.389971E+03,8.466109E+03,7.174220E-02,6.531431E-01,3.211408E+04,1.330159E+04,1.657333E+00,1.026305E+00,9.296717E+02,1.147765E+04,4.798424E-02,8.854766E-01,4.866882E+04,1.404306E+04,2.511099E+00,1.083719E+00,4.189937E+03,1.162624E+04,2.162064E-01,8.972192E-01
