Time,THERMAL ZONE 1:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 6:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 6:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 6:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 6:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:15:00,1.384735E+03,0.000000E+00,7.147194E-02,0.000000E+00,2.978629E+04,9.050102E+02,1.537201E+00,6.982224E-02,9.219781E+02,2.457939E+03,4.758714E-02,1.896492E-01,3.169049E+04,1.391757E+04,1.635472E+00,1.073909E+00,4.181883E+03,3.096651E+03,2.157909E-01,2.389655E-01,4.826214E+04,1.566474E+04,2.490116E+00,1.208913E+00
00:30:00,1.384737E+03,0.000000E+00,7.147207E-02,0.000000E+00,2.978632E+04,9.657541E+02,1.537202E+00,7.450779E-02,9.219861E+02,2.493465E+03,4.758756E-02,1.923871E-01,3.169059E+04,1.384536E+04,1.635477E+00,1.068325E+00,4.181915E+03,3.096787E+03,2.157925E-01,2.389755E-01,4.826232E+04,1.549123E+04,2.490126E+00,1.195525E+00
00:45:00,1.384739E+03,0.000000E+00,7.147217E-02,0.000000E+00,2.978634E+04,9.901080E+02,1.537203E+00,7.638686E-02,9.219941E+02,2.524682E+03,4.758797E-02,1.947924E-01,3.169068E+04,1.376492E+04,1.635482E+00,1.062105E+00,4.181946E+03,3.093169E+03,2.157941E-01,2.386952E-01,4.826248E+04,1.530988E+04,2.490134E+00,1.181527E+00
01:00:00,1.384741E+03,0.000000E+00,7.147227E-02,0.000000E+00,2.978636E+04,9.482539E+02,1.537204E+00,7.315793E-02,9.220018E+02,2.552865E+03,4.758837E-02,1.969639E-01,3.169077E+04,1.368134E+04,1.635487E+00,1.055646E+00,4.181974E+03,3.087141E+03,2.157956E-01,2.382287E-01,4.826264E+04,1.512898E+04,2.490142E+00,1.167562E+00
01:15:00,1.384743E+03,0.000000E+00,7.147236E-02,0.000000E+00,2.978639E+04,8.977341E+02,1.537205E+00,6.926026E-02,9.220099E+02,2.578934E+03,4.758878E-02,1.989725E-01,3.169087E+04,1.360131E+04,1.635492E+00,1.049461E+00,4.182001E+03,3.079933E+03,2.157970E-01,2.376711E-01,4.826281E+04,1.495278E+04,2.490151E+00,1.153959E+00
01:30:00,1.384745E+03,0.000000E+00,7.147245E-02,0.000000E+00,2.978641E+04,8.416014E+02,1.537207E+00,6.492955E-02,9.220178E+02,2.602971E+03,4.758919E-02,2.008244E-01,3.169097E+04,1.352439E+04,1.635497E+00,1.043517E+00,4.182028E+03,3.071719E+03,2.157983E-01,2.370357E-01,4.826297E+04,1.477655E+04,2.490159E+00,1.140352E+00
01:45:00,1.384746E+03,0.000000E+00,7.147254E-02,0.000000E+00,2.978644E+04,7.828876E+02,1.537208E+00,6.039969E-02,9.220255E+02,2.625236E+03,4.758959E-02,2.025398E-01,3.169106E+04,1.345101E+04,1.635502E+00,1.037847E+00,4.182052E+03,3.062799E+03,2.157996E-01,2.363460E-01,4.826312E+04,1.459943E+04,2.490167E+00,1.126675E+00
02:00:00,1.384748E+03,0.000000E+00,7.147261E-02,0.000000E+00,2.978646E+04,7.240041E+02,1.537209E+00,5.585674E-02,9.220332E+02,2.646000E+03,4.758999E-02,2.041398E-01,3.169115E+04,1.338185E+04,1.635506E+00,1.032505E+00,4.182076E+03,3.053467E+03,2.158008E-01,2.356249E-01,4.826327E+04,1.441987E+04,2.490175E+00,1.112809E+00
02:15:00,1.384749E+03,0.000000E+00,7.147269E-02,0.000000E+00,2.978649E+04,6.629056E+02,1.537210E+00,5.114292E-02,9.220406E+02,2.665483E+03,4.759037E-02,2.056414E-01,3.169124E+04,1.331399E+04,1.635511E+00,1.027265E+00,4.182099E+03,3.043439E+03,2.158020E-01,2.348504E-01,4.826341E+04,1.423657E+04,2.490182E+00,1.098655E+00
02:30:00,1.384750E+03,0.000000E+00,7.147275E-02,0.000000E+00,2.978651E+04,6.005352E+02,1.537212E+00,4.633099E-02,9.220480E+02,2.683861E+03,4.759075E-02,2.070580E-01,3.169132E+04,1.324753E+04,1.635515E+00,1.022134E+00,4.182120E+03,3.032930E+03,2.158031E-01,2.340389E-01,4.826355E+04,1.405443E+04,2.490189E+00,1.084591E+00
02:45:00,1.384752E+03,0.000000E+00,7.147282E-02,0.000000E+00,2.978653E+04,5.380937E+02,1.537213E+00,4.151358E-02,9.220552E+02,2.701204E+03,4.759112E-02,2.083951E-01,3.169141E+04,1.318290E+04,1.635520E+00,1.017145E+00,4.182141E+03,3.022122E+03,2.158042E-01,2.332045E-01,4.826368E+04,1.387504E+04,2.490196E+00,1.070743E+00
03:00:00,1.384753E+03,0.000000E+00,7.147288E-02,0.000000E+00,2.978655E+04,4.763663E+02,1.537214E+00,3.675128E-02,9.220622E+02,2.717639E+03,4.759149E-02,2.096623E-01,3.169149E+04,1.312035E+04,1.635524E+00,1.012318E+00,4.182161E+03,3.011166E+03,2.158052E-01,2.323588E-01,4.826380E+04,1.369963E+04,2.490202E+00,1.057202E+00
03:15:00,1.384754E+03,0.000000E+00,7.147294E-02,0.000000E+00,2.978657E+04,4.120274E+02,1.537215E+00,3.178753E-02,9.220691E+02,2.733271E+03,4.759184E-02,2.108677E-01,3.169157E+04,1.305647E+04,1.635528E+00,1.007388E+00,4.182180E+03,2.999645E+03,2.158062E-01,2.314695E-01,4.826392E+04,1.352261E+04,2.490208E+00,1.043538E+00
03:30:00,1.384755E+03,5.516374E+00,7.147300E-02,4.257869E-04,2.978658E+04,3.451047E+02,1.537216E+00,2.662445E-02,9.220759E+02,2.748169E+03,4.759219E-02,2.120166E-01,3.169164E+04,1.299108E+04,1.635532E+00,1.002341E+00,4.182199E+03,2.987666E+03,2.158072E-01,2.305449E-01,4.826404E+04,1.334423E+04,2.490214E+00,1.029770E+00
03:45:00,1.384756E+03,1.455677E+01,7.147306E-02,1.123236E-03,2.978660E+04,2.756237E+02,1.537217E+00,2.126403E-02,9.220826E+02,2.762445E+03,4.759254E-02,2.131176E-01,3.169171E+04,1.292408E+04,1.635535E+00,9.971715E-01,4.182217E+03,2.975308E+03,2.158081E-01,2.295911E-01,4.826415E+04,1.316449E+04,2.490220E+00,1.015896E+00
04:00:00,1.384757E+03,2.583796E+01,7.147311E-02,1.993559E-03,2.978662E+04,2.039490E+02,1.537217E+00,1.573438E-02,9.220891E+02,2.776118E+03,4.759287E-02,2.141721E-01,3.169178E+04,1.285564E+04,1.635539E+00,9.918904E-01,4.182234E+03,2.962641E+03,2.158090E-01,2.286135E-01,4.826426E+04,1.298355E+04,2.490226E+00,1.001930E+00
04:15:00,1.384758E+03,3.992891E+01,7.147316E-02,3.080651E-03,2.978664E+04,1.343481E+02,1.537218E+00,1.036475E-02,9.220955E+02,2.789193E+03,4.759320E-02,2.151806E-01,3.169185E+04,1.278971E+04,1.635543E+00,9.868030E-01,4.182251E+03,2.950268E+03,2.158098E-01,2.276586E-01,4.826436E+04,1.280817E+04,2.490231E+00,9.883936E-01
04:30:00,1.384759E+03,5.053430E+01,7.147322E-02,3.898632E-03,2.978665E+04,7.403629E+01,1.537219E+00,5.711775E-03,9.221017E+02,2.801691E+03,4.759353E-02,2.161447E-01,3.169192E+04,1.272654E+04,1.635546E+00,9.819288E-01,4.182267E+03,2.938239E+03,2.158107E-01,2.267302E-01,4.826446E+04,1.263899E+04,2.490236E+00,9.753360E-01
04:45:00,1.384760E+03,5.938672E+01,7.147327E-02,4.581586E-03,2.978667E+04,3.191873E+01,1.537220E+00,2.462472E-03,9.221078E+02,2.813636E+03,4.759384E-02,2.170661E-01,3.169198E+04,1.266612E+04,1.635549E+00,9.772672E-01,4.182282E+03,2.926602E+03,2.158115E-01,2.258321E-01,4.826456E+04,1.247653E+04,2.490241E+00,9.627968E-01
05:00:00,1.384761E+03,6.755875E+01,7.147332E-02,5.212051E-03,2.978668E+04,8.423035E+00,1.537221E+00,6.498204E-04,9.221138E+02,2.825047E+03,4.759415E-02,2.179463E-01,3.169205E+04,1.260850E+04,1.635553E+00,9.728213E-01,4.182297E+03,2.915396E+03,2.158122E-01,2.249673E-01,4.826465E+04,1.232118E+04,2.490246E+00,9.508070E-01
05:15:00,1.384762E+03,7.430281E+01,7.147337E-02,5.732351E-03,2.978670E+04,0.000000E+00,1.537221E+00,0.000000E+00,9.221197E+02,2.835947E+03,4.759445E-02,2.187871E-01,3.169211E+04,1.256463E+04,1.635556E+00,9.694359E-01,4.182312E+03,2.906296E+03,2.158130E-01,2.242649E-01,4.826474E+04,1.219207E+04,2.490251E+00,9.408417E-01
05:30:00,1.384763E+03,8.024721E+01,7.147342E-02,6.190958E-03,2.978671E+04,0.000000E+00,1.537222E+00,0.000000E+00,9.221255E+02,2.846362E+03,4.759475E-02,2.195906E-01,3.169217E+04,1.253606E+04,1.635559E+00,9.672320E-01,4.182326E+03,2.899334E+03,2.158137E-01,2.237276E-01,4.826483E+04,1.209057E+04,2.490255E+00,9.330077E-01
